,2021年,,,,,,,,,2022年,,,
行ラベル,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,総計
総計,2157,2045,21843,16411,20692,7697,3763,2958,2752,6997,8321,4713,100349
あらい内科クリニック板橋仲宿,,,338,244,315,74,22,8,5,40,88,45,1179
うえだクリニック,,,257,181,208,67,16,7,3,23,45,18,825
上原内科医院,,,213,201,226,42,10,3,3,17,53,30,798
富士見病院,,,204,145,188,63,26,6,2,30,71,24,759
くわこ記念循環器科内科クリニック,,,220,165,200,45,11,5,2,20,52,19,739
木村内科クリニック,,,205,146,193,34,13,6,6,34,44,20,701
東京都健康長寿医療センター,,,212,150,164,54,4,1,3,42,47,14,691
東京シティクリニック大山,,,198,148,203,51,8,1,2,11,29,8,659
ひらつかクリニック,,,178,117,185,66,1,2,1,27,53,16,646
板橋区医師会病院,3,3,156,99,153,40,4,31,6,81,44,22,642
イムス記念病院,,,216,101,160,49,8,3,2,30,37,25,631
すずき内科,,,177,110,163,47,5,,2,32,59,28,623
いたばし・ハートクリニック,,,201,133,146,35,7,4,10,20,49,16,621
太田内科クリニック,,,253,135,129,29,8,3,1,10,41,10,619
板橋区役所前診療所,,,,97,349,73,14,13,5,24,,,575
野村循環器科内科クリニック,,,142,124,174,43,17,4,3,26,32,9,574
大山東方クリニック,,,137,138,167,39,9,8,4,24,24,9,559
東京腎泌尿器センター大和病院,,,198,86,133,35,7,4,2,19,49,20,553
日本大学医学部附属板橋病院,,,193,117,138,30,8,4,2,16,34,11,553
耳鼻咽喉科　萩原医院,,,152,103,163,48,10,4,2,19,20,21,542
香川内科小児科医院,2,1,140,124,135,34,10,9,6,29,31,17,538
あべこどもクリニック,,,142,110,165,42,5,2,3,21,23,20,533
高島平PCR検査センター（令和4年2月4日（金）から開始）,,,,,,,,,,,480,45,525
岡部医院,,,161,111,132,30,8,4,5,17,37,18,523
平沼クリニック,,,133,127,155,39,6,1,1,14,33,13,522
おおの内科クリニック,,,149,122,149,26,7,4,3,14,32,13,519
東武練馬中央病院,,,129,92,151,46,8,3,2,25,25,16,497
耳鼻咽喉科大山中丸クリニック,,,143,81,160,42,11,1,2,9,25,21,495
鈴木整形外科クリニック,,,169,105,123,32,7,,,12,25,17,490
小林病院,,,138,80,136,47,15,12,2,17,29,13,489
板橋区役所,36,18,143,112,13,22,53,18,11,17,26,13,482
勝又内科医院,,,125,95,140,37,12,2,2,13,37,17,480
こうのファミリーケア・クリニック,,,127,80,153,19,8,4,2,24,40,19,476
赤塚新町クリニック,,,106,94,138,37,6,15,5,22,25,18,466
はちすクリニック,2,1,110,67,131,32,11,9,4,36,31,30,464
板橋幸町クリニック,,,123,86,123,37,9,4,4,18,36,17,457
蓮根メディカルクリニック,1,,130,73,115,50,7,6,4,18,29,20,453
耳鼻咽喉科いとうクリニック,,,132,79,126,23,3,3,2,24,34,26,452
あおぞらクリニック,,,106,57,112,24,4,5,,40,69,31,448
倉科内科クリニック,,,126,81,139,42,7,2,2,11,24,8,442
田辺整形外科医院,,,104,99,111,25,7,1,4,29,45,17,442
小豆沢病院,,,127,81,116,21,7,11,4,17,45,12,441
今村医院,,,113,123,128,22,7,1,2,15,22,6,439
敬愛病院附属クリニック,,,104,101,122,27,6,5,2,21,34,13,435
田幡医院,,,124,80,135,39,9,,2,17,22,7,435
弘瀬医院,,,92,115,113,20,6,6,3,21,34,15,425
冨山整形外科,,,84,92,131,32,7,,4,28,35,8,421
Waltzクリニック　,,,116,116,133,41,5,5,1,,,,417
愛誠病院,,,127,110,94,13,6,2,6,18,32,9,417
杉内医院,2,,120,95,93,30,4,7,6,23,20,17,417
イムス板橋健診クリニック,,,158,80,120,13,4,1,2,13,23,2,416
天木診療所,,,123,67,112,32,3,4,2,23,28,17,411
ときわ台クリニック,,,116,81,129,34,5,2,2,11,20,8,408
清水クリニック,,,135,71,92,26,6,5,4,27,34,8,408
