,2022年,,,,,,,,,2023年,,,
行ラベル,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,総計
総計,3327,2873,4579,9398,3550,2702,4162,4674,3068,3013,3113,2620,47079
板橋区役所,16,19,348,766,21,17,22,21,19,17,18,19,1303
高島平区民館,13,7,172,524,21,4,7,1,2,5,1,1,758
蓮根PCR検査センター（令和4年2月8日（火）から開始）,70,70,27,176,112,55,37,48,59,41,13,11,719
中央図書館跡地,46,14,20,26,20,27,156,296,60,26,8,5,704
仲町ふれあいセンター,,,157,506,,,,,,,1,3,667
志村健康福祉センター,9,7,159,392,7,10,16,5,8,9,9,13,644
大谷口地域センター,13,9,112,424,12,7,13,3,13,3,7,17,633
きたのホール,5,3,126,440,3,2,5,6,11,7,5,5,618
志村坂上地域センター,11,6,128,378,10,3,9,17,6,10,7,4,589
区立教育科学館（常盤台地域センターと併設）,,,138,445,1,1,,,,,1,,586
赤塚支所,8,8,117,331,8,9,5,12,11,21,6,20,556
成増アクトホール,,,117,381,,,1,1,,1,,3,504
常盤台PCR検査センター（令和4年7月21日（木）から開始）,,,,173,153,26,30,33,31,28,8,5,487
富士見地域センター,7,10,89,280,6,9,6,10,11,7,13,6,454
板橋区医師会病院,11,36,12,11,14,37,111,74,36,32,21,38,433
エコポリスセンター,6,4,75,203,1,3,5,4,7,4,12,13,337
西台駅高架下自転車駐車場（有料）,30,27,19,22,43,17,32,14,10,20,24,10,268
蓮根駅・西台駅周辺放置禁止区域図,5,,19,24,11,4,27,7,5,47,100,16,265
はちすクリニック,16,14,2,7,9,26,28,35,15,55,46,5,258
板橋区役所前駅周辺放置禁止区域図,19,19,18,20,31,32,16,24,11,17,26,18,251
常盤台地域センター,13,25,25,24,13,28,19,20,13,26,19,21,246
舟渡ホール,4,6,66,131,2,3,2,3,9,2,1,8,237
板橋区役所前駅高架下自転車駐車場（有料）,20,14,15,46,39,16,18,11,19,11,13,15,237
高島平PCR検査センター（令和4年7月15日（金）から開始）,,,,153,76,,,,,,,,229
西台粗大ごみセンター,29,26,12,18,15,7,16,11,16,18,9,15,192
板橋中央総合病院ワクチンセンター,26,7,19,21,21,9,31,42,7,3,4,1,191
板橋本町駅第４自転車駐車場（有料）,14,11,12,9,21,10,17,14,5,10,20,39,182
蓮根メディカルクリニック,11,19,9,7,7,13,23,31,23,16,12,6,177
あらい内科クリニック板橋仲宿,19,17,16,18,13,6,29,34,7,6,2,5,172
香川内科小児科医院,10,21,9,28,2,9,18,25,18,11,14,5,170
篠遠医院,7,16,6,5,12,18,18,31,17,13,21,6,170
杉内医院,6,26,12,3,1,9,28,35,12,11,17,8,168
宮下内科医院,4,11,4,1,9,15,22,34,18,18,13,13,162
岩渕診療所,8,10,7,14,6,12,23,25,13,14,21,7,160
ときわ台はしもと小児科アレルギー科,8,7,7,7,17,18,38,21,11,11,12,2,159
No.134遺跡,12,5,22,20,5,14,13,16,4,14,13,19,157
えがおこどもクリニック,1,13,1,24,9,18,20,24,15,14,12,6,157
西台駅東自転車駐車場（有料）,17,15,10,12,21,18,16,4,10,17,9,6,155
仲宿地域センター,4,7,8,8,11,16,19,18,14,26,11,9,151
木村内科クリニック,3,16,8,15,13,21,10,24,16,9,9,7,151
藤田医院,3,11,3,10,8,16,19,32,18,8,15,7,150
平山医院,,10,1,2,15,14,26,36,20,13,7,4,148
高島第六小学校,,,1,15,,7,86,4,,10,22,2,147
大山東方クリニック,17,13,2,22,8,7,22,22,8,7,11,6,145
富士見病院,21,15,16,12,6,4,22,28,12,3,3,3,145
上板橋駅周辺放置禁止区域図,11,7,4,3,17,1,54,12,15,5,6,9,144
桜川地域センター,5,10,10,6,4,8,10,7,27,28,12,16,143
No.112遺跡,2,3,74,4,9,3,9,2,10,,11,13,140
大山駅前自転車駐車場（有料）,6,7,7,14,8,15,20,21,15,3,10,14,140
堀井医院,7,5,3,4,5,12,6,36,22,20,10,7,137
板橋地域センター,15,10,10,17,8,9,8,12,11,9,18,9,136
美術館,13,10,8,15,20,7,9,10,14,11,5,12,134
板橋駅自転車駐車場（有料）,17,10,8,18,19,19,10,5,11,3,6,5,131
赤塚新町クリニック,14,10,2,3,4,16,26,10,9,14,16,6,130
東京腎泌尿器センター大和病院,5,11,13,8,7,5,23,42,7,2,6,,129
渡辺産婦人科医院,1,8,,,8,17,21,22,16,11,16,8,128
旧蓮根高齢者在宅サービスセンター,30,18,23,32,9,9,6,,,,,,127
上板橋健康福祉センター,9,9,4,9,4,15,11,17,10,10,14,11,123
萩原医院,5,10,4,2,3,7,9,31,13,11,15,12,122
仲町地域センター,25,15,15,12,15,9,3,3,12,3,6,3,121
板橋区役所前駅南自転車駐車場（有料）,12,3,6,20,11,10,9,23,10,1,8,5,118
蓮根地域センター,4,2,10,19,12,8,5,13,12,3,11,19,118
板橋健康福祉センター,14,9,10,15,11,6,12,10,13,6,8,1,115
弘瀬医院,7,4,6,9,7,3,29,26,15,3,,5,114
No.33遺跡,18,3,10,29,10,8,6,4,3,4,6,10,111
成増地域センター（アクトホール）,8,3,8,8,14,8,4,5,21,16,9,7,111
田島クリニック,3,24,2,,2,4,7,18,11,16,8,16,111
清水クリニック,3,5,1,2,4,8,15,33,11,15,9,3,109
そう内科クリニック,3,4,6,,7,22,19,10,8,6,15,6,106
情報処理センター,11,12,12,15,7,6,9,6,10,5,5,8,106
うえだクリニック,18,8,8,9,2,3,19,23,2,6,4,3,105
常盤台区民事務所,5,9,14,7,9,11,6,2,8,14,11,9,105
郡医院,3,8,,3,3,13,15,21,9,8,13,8,104
帝京大学医学部附属病院,11,3,11,8,13,5,11,26,4,5,6,1,104
ときわ台駅周辺放置禁止区域図,3,3,2,1,9,2,55,8,2,2,7,9,103
天木診療所,2,7,7,4,2,6,10,15,14,10,15,10,102
よりふじ医院,,11,2,1,5,15,20,17,17,7,6,,101
多比良医院,2,9,6,2,5,3,18,13,13,10,10,9,100
上原内科医院,12,10,5,8,8,4,15,32,,2,2,1,99
東京都健康長寿医療センター,7,13,25,34,11,9,,,,,,,99
高島平中央総合病院,10,4,5,9,4,4,12,43,4,1,,1,97
新板橋駅前高架下自転車駐車場（有料）,5,2,2,14,10,16,15,8,9,5,4,7,97
赤塚健康福祉センター,10,9,9,10,10,11,4,8,,6,7,12,96
イムス記念病院,20,11,4,9,8,4,11,20,4,2,1,1,95
新板橋駅・板橋駅・下板橋駅周辺放置禁止区域図,9,6,17,6,15,7,4,1,4,2,12,11,94
くわこ記念循環器科内科クリニック,10,8,9,8,7,1,11,28,6,2,2,1,93
戸田橋下臨時駐車場入口,10,12,9,9,7,4,4,6,2,9,15,5,92
清水地域センター,4,5,4,1,4,4,10,9,12,17,8,14,92
大和町自転車駐車場（有料）,3,5,8,3,10,3,,7,5,7,20,21,92
No.2遺跡,9,5,18,4,3,5,5,6,,3,12,21,91
教育科学館,5,10,4,13,9,18,9,4,3,12,,4,91
高島平地域センター,8,11,9,,5,4,5,4,3,26,5,9,89
渡邉医院,,6,,5,2,8,11,12,11,19,11,4,89
板橋本町駅第１自転車駐車場（有料）,3,3,5,4,9,4,4,8,5,8,12,24,89
常盤台地域集会室,4,4,10,19,5,8,6,1,4,16,11,,88
徳山内科外科,1,7,3,,4,4,9,23,10,9,10,8,88
板橋本町駅周辺放置禁止区域図,5,1,4,7,10,2,7,8,2,13,15,14,88
YUMEパーク・大和町自転車駐車場（有料コイン式）,4,7,8,6,13,4,4,9,1,8,7,16,87
成増駅南口第４自転車駐車場（有料）,3,1,7,3,3,20,6,4,1,8,14,16,86
小竹向原駅南自転車駐車場（有料）,15,8,5,12,7,9,5,6,10,2,4,2,85
赤星医院,,14,,,7,5,7,8,11,8,10,15,85
徳丸ふれあい館,19,6,8,7,9,5,15,,5,5,2,4,85
板橋東清掃事務所,10,5,11,6,6,4,7,7,8,2,10,9,85
太田内科クリニック,8,10,13,7,4,1,10,22,7,1,1,,84
南常盤台一丁目集会所,,,2,17,34,22,1,1,1,3,1,,82
板橋西清掃事務所,4,7,5,9,5,8,9,4,12,6,3,10,82
No.99遺跡,7,12,10,2,4,2,3,5,7,11,10,7,80
こうのファミリーケア・クリニック,16,5,4,8,3,1,18,22,1,,2,,80
小豆沢病院,5,10,6,5,12,,20,16,5,,1,,80
徳丸地域センター,6,6,9,4,6,3,6,13,5,16,4,1,79
すずき内科,8,4,2,9,3,3,11,30,2,4,1,1,78
岡部医院,11,3,4,7,4,1,19,20,1,1,4,2,77
佐藤クリニック,2,2,6,3,4,10,10,9,7,12,7,5,77
東武練馬駅自転車駐車場（有料）,7,3,4,5,8,3,4,10,2,10,13,8,77
ねづクリニック,2,3,1,3,1,4,11,15,10,11,9,6,76
浮間舟渡駅自転車駐車場（有料）,8,6,4,8,8,6,3,5,8,6,7,7,76
岩田医院,,4,1,,5,5,7,14,13,13,8,5,75
区民相談室,,,,21,14,8,4,4,2,9,5,8,75
高島平駅・新高島平駅周辺放置禁止区域図,3,1,2,3,2,5,7,4,2,5,29,12,75
北角診療所,2,6,2,,13,7,5,6,10,7,7,10,75
あべこどもクリニック,10,5,4,7,1,5,24,11,3,3,1,,74
いたばし・ハートクリニック,2,9,7,14,6,2,14,11,5,2,1,1,74
高島平診療所堀口内科小児科,1,6,,,3,10,17,7,6,9,10,5,74
蓮根駅自転車駐車場（有料）,4,3,7,4,10,2,3,3,1,15,11,11,74
おうちにかえろう。病院,8,11,4,6,9,3,12,13,2,2,2,,72
ゆう徳丸内科皮膚科,7,8,2,4,1,7,5,10,7,6,11,4,72
成増駅南口第５自転車駐車場（有料）,8,1,9,1,5,11,1,,2,4,16,14,72
板橋中央総合病院付属 アイ・タワークリニック,9,7,9,12,3,4,6,9,3,8,2,,72
鈴木整形外科クリニック,8,10,5,5,3,,10,17,7,2,4,1,72
宮田クリニック,15,1,,2,3,23,8,12,4,3,,,71
成増駅南口自転車駐車場（有料）,1,,4,4,10,7,3,2,6,7,14,13,71
蓮根区民事務所,2,4,5,9,11,4,5,9,7,4,5,6,71
No.59遺跡,6,2,4,6,7,10,3,6,1,17,4,4,70
共助会医院,2,8,1,,2,11,7,9,9,5,10,6,70
ベルーガクリニック,5,6,5,5,3,2,10,29,3,1,,,69
耳鼻咽喉科　萩原医院,16,3,4,5,1,5,17,13,4,1,,,69
平沼クリニック,1,1,10,11,3,6,10,17,7,1,,2,69
大山東児童館,2,10,4,3,6,4,9,6,7,9,3,5,68
ひらつかクリニック,8,5,6,7,2,1,6,22,4,2,4,,67
下赤塚地域センター,4,5,8,8,5,5,2,5,3,15,5,2,67
たにもとクリニック,1,3,3,,4,7,8,20,6,5,7,2,66
成増駅北口第２自転車駐車場（有料）,2,6,5,4,3,5,8,2,4,,12,15,66
東武練馬中央病院,21,4,1,3,5,4,14,12,,1,,,65
はすのみ児童館,3,2,1,2,4,2,3,3,,6,38,,64
下板橋駅第１自転車駐車場（有料）,,1,3,10,9,7,8,11,8,1,2,4,64
熊野地域センター,2,7,9,4,4,5,7,6,6,2,8,4,64
新河岸水再生センター前臨時駐車場入口,5,3,4,8,8,8,2,10,2,3,7,4,64
Waltzクリニック,17,13,1,5,1,,7,14,2,2,1,,63
ロータスホール,1,8,3,7,15,7,6,1,4,3,7,1,63
板橋幸町クリニック,3,7,1,14,1,2,12,13,7,2,,,62
鈴木医院,10,1,2,6,3,1,13,6,2,5,11,2,62
志村坂上区民事務所,,3,6,3,6,5,7,11,9,3,5,3,61
志村コミュニティホール,6,4,3,3,8,12,6,4,4,4,4,2,60
新河岸水再生センター前臨時駐車場,9,4,4,8,6,4,4,7,7,3,1,3,60
日本大学医学部附属板橋病院,2,6,5,10,7,3,5,14,3,1,2,2,60
本蓮沼駅自転車駐車場（有料）,6,1,4,2,4,4,3,3,5,9,4,15,60
上板橋第二中学校,12,3,2,,27,13,1,,,,1,,59
西尾医院,2,2,2,2,3,7,14,8,,8,7,4,59
南板橋児童館,3,6,4,1,10,1,9,5,3,9,3,5,59
ときわ台駅南口自転車駐車場（有料）,6,3,2,3,7,6,8,6,4,,5,8,58
No.96遺跡,9,1,15,1,3,8,4,5,7,2,2,,57
まえだファミリークリニック,8,1,2,3,2,2,10,18,6,1,2,2,57
上板橋駅北自転車駐車場（有料）,1,3,5,1,2,5,1,8,11,6,7,7,57
