,2019年,,,,,,,,,2020年,,,
行ラベル,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,総計
総計,8613,10177,9768,9215,9414,10181,12141,9043,7937,8713,8934,9233,113369
上板橋第二小学校,202,206,188,141,104,148,255,154,79,122,122,171,1892
志村第五小学校,5,13,20,22,34,164,222,109,151,147,230,721,1838
紅梅小学校,159,124,173,141,90,145,173,93,59,96,92,322,1667
西台駅高架下自転車駐車場（有料）,114,123,122,115,123,143,82,121,76,83,83,89,1274
上板橋健康福祉センター,127,103,141,94,88,115,99,85,69,62,91,171,1245
板橋区役所前駅高架下自転車駐車場（有料）,144,114,88,86,79,92,109,68,70,81,81,95,1107
上板橋駅南口自転車駐車場（有料）,109,73,74,69,87,93,78,69,77,53,79,101,962
下赤塚駅前集会所,49,88,74,48,72,80,77,121,91,104,83,71,958
大谷口地域センター,83,76,104,146,79,47,71,73,53,63,37,70,902
熱帯環境植物館,64,81,95,73,123,77,61,72,51,63,57,76,893
四葉集会所,44,76,74,80,54,68,86,92,142,66,78,31,891
成増地域センター（アクトホール）,89,81,89,112,80,79,79,56,55,55,43,65,883
下板橋駅前集会所,52,94,110,90,68,91,77,45,31,80,61,61,860
まなびの森保育園下赤塚,40,87,63,82,80,102,170,130,38,12,30,14,848
常盤台地域センター,63,60,80,72,66,103,60,43,55,104,43,63,812
仲町地域センター,40,73,111,113,54,72,92,65,41,59,37,45,802
西台集会所,61,77,40,78,59,52,88,86,93,51,58,48,791
板橋区役所,90,59,66,94,69,59,55,49,62,52,58,43,756
西台三丁目集会所,28,64,78,95,27,42,92,116,57,58,51,45,753
小竹向原駅南自転車駐車場（有料）,51,43,33,47,60,72,55,66,82,70,65,100,744
仲宿地域センター,64,90,73,86,62,63,93,44,42,51,40,31,739
高島平地域センター,74,59,79,95,60,65,56,65,36,57,42,48,736
板橋区保健所,23,13,25,43,52,45,68,49,26,59,84,218,705
大山駅前自転車駐車場（有料）,54,78,69,70,70,63,51,58,28,44,47,58,690
桜川地域センター,69,75,54,51,57,57,109,61,32,32,39,47,683
赤塚七丁目集会所,31,85,52,40,59,38,53,52,57,91,59,44,661
大谷口北町集会所,41,38,34,35,44,55,99,90,56,71,56,40,659
成増三丁目集会所,65,58,61,76,39,62,46,50,45,54,55,46,657
成増小学校,57,56,70,54,32,61,64,41,34,27,54,85,635
上板橋第二中学校,9,21,40,40,52,48,132,57,36,56,56,79,626
西台駅東自転車駐車場（有料）,61,55,53,65,59,60,37,46,42,38,56,48,620
成増駅南口自転車駐車場（有料）,49,39,43,36,60,54,70,47,58,43,45,75,619
西台粗大ごみセンター,59,83,47,59,61,52,40,49,48,35,43,38,614
蓮根駅自転車駐車場（有料）,49,46,38,48,59,71,41,49,48,47,55,60,611
赤塚新町小学校,67,79,80,64,39,56,46,34,16,32,30,60,603
徳丸三丁目集会所,37,58,66,60,46,49,56,39,64,31,21,71,598
成増駅南口第４自転車駐車場（有料）,44,38,36,35,53,45,56,47,44,61,62,72,593
赤塚健康福祉センター,17,32,25,30,34,37,52,54,49,55,44,160,589
下赤塚地域センター,81,53,50,52,67,48,49,51,23,33,41,31,579
南常盤台一丁目集会所,50,44,38,38,41,55,39,29,57,64,49,40,544
板橋交通公園内集会所,26,48,38,44,51,59,46,41,40,52,57,30,532
蓮根集会所,36,39,80,57,35,33,60,49,46,34,42,20,531
富士見地域センター,48,43,36,88,45,64,42,29,30,28,28,47,528
