,2017年,,,,,,,,,2018年,,,
行ラベル,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,総計
総計,8305,5215,5226,4892,3337,4316,4619,4077,4219,4710,4637,5621,59174
熱帯環境植物館,178,183,185,189,196,177,215,200,189,214,228,268,2422
板橋区役所,188,144,170,155,110,98,113,115,93,104,134,144,1568
6,998,,,,,,,,,,,,998
美術館,154,159,163,174,15,26,16,8,23,15,13,17,783
4,714,,,1,,,,,,,,,715
上板橋健康福祉センター,27,51,40,40,32,48,46,52,61,71,83,70,621
板橋区医師会病院,35,39,14,31,18,38,23,25,90,87,61,79,540
成増地域センター（アクトホール）,53,25,36,34,23,31,40,48,29,47,48,75,489
あずさわ児童館,21,25,64,40,49,42,58,42,33,31,25,52,482
1,443,,,28,,,,,,,,,471
西台粗大ごみセンター,30,39,32,36,38,31,42,39,47,40,30,44,448
板橋交通公園内集会所,18,25,11,24,25,64,31,48,33,48,35,42,404
板橋区役所前駅高架下自転車駐車場（有料）,47,48,20,18,45,20,28,25,24,26,39,49,389
板橋地域センター,24,28,62,19,24,52,20,37,27,36,21,27,377
成増駅南口第４自転車駐車場（有料）,75,47,16,17,26,16,16,26,21,21,37,41,359
板橋区役所前駅周辺放置禁止区域図,48,39,37,33,28,20,19,18,15,22,25,39,343
赤塚支所,22,33,28,23,17,24,34,22,21,28,23,67,342
上板橋駅南口自転車駐車場（有料）,34,31,24,15,14,25,22,24,24,23,29,51,316
成増地域集会室,19,15,23,18,17,19,54,41,31,29,21,27,314
高島平児童館,26,15,33,20,22,24,22,32,28,27,27,30,306
板橋郵便局前自転車保管所,55,31,32,15,30,22,23,24,17,9,12,20,290
板橋本町駅第４自転車駐車場（有料）,31,29,21,20,17,14,24,24,21,16,31,34,282
板橋駅自転車駐車場（有料）,181,14,8,4,4,6,9,2,10,5,14,23,280
常盤台地域センター,22,29,36,22,20,18,24,19,11,31,21,26,279
桜川地域センター,16,36,31,27,20,22,25,20,24,16,13,23,273
大山駅前自転車駐車場（有料）,20,18,11,19,18,30,23,21,34,22,21,26,263
板橋健康福祉センター,24,11,18,17,11,23,25,23,26,31,23,31,263
成増駅北口第２自転車駐車場（有料）,39,20,13,16,14,23,16,24,17,20,17,43,262
成増駅南口自転車駐車場（有料）,41,25,18,13,21,12,21,17,18,17,29,29,261
仲宿地域センター,39,23,36,15,13,17,28,24,18,10,10,21,254
熊野地域センター,17,27,29,19,25,15,26,20,16,31,11,16,252
赤塚健康福祉センター,20,19,9,35,10,21,35,23,16,17,20,20,245
富士見地域センター,9,50,41,20,20,17,28,14,11,7,10,10,237
徳丸ヶ丘公園内集会所,15,25,17,11,14,11,20,19,27,33,17,25,234
大谷口地域センター,14,29,47,21,13,16,34,11,11,8,11,18,233
板橋区役所前駅南自転車駐車場（有料）,30,18,17,11,13,12,16,15,14,26,14,40,226
水車公園前自転車保管所,23,21,20,30,29,19,14,4,12,16,16,17,221
志村健康福祉センター,17,33,37,8,16,23,27,13,4,9,23,9,219
清水児童館,16,19,22,17,8,16,18,26,13,27,19,16,217
南前野児童館,8,16,28,11,13,16,17,38,15,19,15,18,214
志村坂上地域センター,6,20,47,13,8,11,34,11,18,13,19,13,213
氷川児童館,23,11,35,21,14,15,16,14,9,13,19,20,210
小竹向原駅南自転車駐車場（有料）,16,18,13,12,19,19,11,12,15,13,28,32,208
きたのホール,8,18,35,16,9,16,41,12,15,8,8,16,202
成増一丁目自転車駐車場（有料）,43,13,11,12,8,9,8,10,17,9,26,36,202
成増駅南口第２自転車駐車場（有料）,55,23,10,9,10,10,15,4,7,11,25,22,201
東武練馬駅自転車駐車場（有料）,37,13,10,13,11,15,13,12,14,14,28,21,201
レストランまき,15,12,19,19,14,21,15,10,17,16,12,18,188
徳丸地域センター,25,19,28,34,15,12,6,8,10,10,11,8,186
仲町地域センター,12,26,16,15,13,14,18,7,17,18,13,13,182
常盤台区民事務所,24,11,18,22,10,20,5,9,3,2,6,48,178
志村坂上駅自転車駐車場（有料コイン式）,27,14,10,15,16,19,17,14,9,10,11,15,177
3,169,,,6,,,,,,,,,175
舟渡地域センター,8,16,24,7,4,17,27,15,17,12,13,15,175
志村坂上駅北自転車駐車場（有料コイン式）,16,9,7,12,12,11,17,19,13,11,32,12,171
YUMEパーク・大和町自転車駐車場（有料コイン式）,29,11,12,12,12,11,12,8,16,9,26,8,166
しらさぎ児童館,25,17,41,15,5,4,4,9,3,,35,8,166
前野地域センター,17,20,13,17,9,16,17,8,7,12,14,16,166
富士見台児童館,14,6,56,6,1,10,17,6,5,14,15,16,166
上板橋駅北自転車駐車場（有料）,22,12,11,11,9,21,10,12,11,3,22,19,163
本蓮沼駅第３自転車駐車場（有料）,33,16,10,5,11,15,18,14,3,5,15,17,162
ときわ台駅北口第４自転車駐車場（有料ゲート式）,18,23,23,22,7,20,11,5,9,7,12,3,160
情報処理センター,7,16,17,8,9,13,15,20,13,15,10,17,160
蓮根区民事務所,14,18,18,9,23,20,16,9,9,7,7,10,160
本蓮沼駅自転車駐車場（有料）,15,14,9,9,16,6,5,10,10,13,22,30,159
篠遠医院,4,13,14,4,6,9,7,6,32,44,14,4,157
成増公園前自転車駐車場（有料）,38,17,10,11,7,7,5,12,12,8,12,18,157
西台駅東自転車駐車場（有料）,8,10,9,12,14,14,11,13,19,18,15,14,157
蓮根地域センター,7,10,22,18,7,10,17,16,10,8,12,17,154
大和町自転車駐車場（有料）,25,11,12,4,5,8,11,9,22,12,19,14,152
はちすクリニック,7,16,,10,7,3,12,14,5,37,25,15,151
ゆりの木児童館,6,12,26,12,13,9,16,6,8,8,20,15,151
志村コミュニティホール,13,17,10,15,10,15,17,7,10,11,9,17,151
5,122,28,,,,,,,,,,,150
藤田医院,13,25,10,4,6,2,8,5,3,36,26,10,148
新河岸水再生センター前臨時駐車場,4,11,6,11,,18,21,21,15,17,6,17,147
高島平区民事務所,7,7,15,5,12,9,17,14,9,18,15,18,146
こども動物園,10,19,11,6,8,12,14,10,11,9,15,20,145
大山東児童館,11,9,35,14,3,5,7,10,10,17,15,8,144
いたばし観光センター,10,10,23,3,5,13,18,13,16,10,10,12,143
常盤台地域集会室,19,6,21,9,9,14,12,7,11,13,9,13,143
成増駅南口第６自転車駐車場,40,8,6,9,8,6,9,14,14,6,11,12,143
板橋フレンドセンター,10,2,2,3,19,13,20,16,18,16,13,9,141
下赤塚駅前集会所,10,8,4,15,2,14,17,10,10,10,20,18,138
さかうえ児童館,9,14,65,6,5,5,5,9,2,2,7,8,137
ときわ台駅北口第２自転車駐車場（有料）,21,25,7,9,10,16,7,5,14,4,7,12,137
高島平健康福祉センター,10,28,12,5,8,9,16,9,8,11,7,13,136
中台地域センター,10,18,12,7,6,16,12,9,7,14,13,12,136
西徳児童館,10,10,39,16,4,11,15,4,5,7,6,8,135
ときわ台駅北口第１自転車駐車場（有料）,17,17,6,15,6,10,8,8,10,7,10,20,134
加賀橋公園,,4,,44,4,14,21,12,10,13,8,4,134
東板橋体育館,13,4,9,16,6,12,17,14,9,16,6,12,134
高島平地域センター,6,14,15,9,8,16,31,7,6,8,7,6,133
清水地域センター,16,20,24,11,3,10,11,6,7,5,4,14,131
下赤塚区民事務所,12,13,12,8,9,10,10,9,8,9,6,24,130
清水医院,,12,10,11,10,10,6,18,18,20,,13,128
徳丸タウンブリッジ自転車駐車場（有料）,31,9,6,15,7,7,4,4,8,9,6,21,127
下赤塚地域センター,12,8,15,10,7,4,7,5,11,16,20,11,126
平山医院,11,2,5,5,,12,3,5,38,17,22,6,126
成増駅南口第３自転車駐車場（有料）,34,18,6,4,11,2,5,8,4,7,9,17,125
渡邉医院,7,15,,7,8,16,6,12,25,19,6,4,125
田丸小児科内科医院,10,8,,7,5,8,11,4,24,28,16,,121
南板橋児童館,5,9,22,12,10,9,3,9,6,10,9,17,121
板橋区役所前駅西自転車駐車場（有料）,11,8,1,2,6,16,14,18,9,9,18,9,121
板橋いこいの家,11,18,12,6,5,8,5,6,6,19,10,13,119
宮下内科医院,9,2,6,,10,,5,10,25,19,24,8,118
舟渡ホール,12,10,24,6,2,11,18,3,5,8,14,5,118
赤塚児童館,6,2,31,9,7,8,11,6,5,9,13,11,118
板橋区役所前駅東自転車駐車場（有料）,20,13,7,7,7,11,12,7,8,10,8,8,118
東板橋図書館,,3,13,19,3,11,13,13,10,10,9,13,117
板橋交通公園,11,21,8,4,9,12,10,8,4,7,6,17,117
高島陸橋交差点A自転車駐車場（有料）,12,13,2,2,3,8,11,6,19,9,18,13,116
向原ホール,10,18,15,8,5,5,7,10,8,11,10,6,113
成増駅北口第１自転車駐車場（有料）,28,7,1,12,5,10,7,4,16,4,12,7,113
志村児童館,23,2,15,8,7,7,4,10,12,7,4,13,112
小竹向原駅北自転車駐車場（有料）,18,9,9,14,12,9,1,,9,5,13,13,112
南ときわ台耳鼻咽喉科,6,6,6,8,,3,5,9,15,32,14,8,112
板橋西清掃事務所,11,6,7,2,4,7,14,7,16,14,14,10,112
上板橋児童館,7,12,22,6,4,6,9,8,9,8,13,7,111
成増駅周辺放置禁止区域図,24,4,8,6,14,3,7,1,20,,8,15,110
西高島平駅前自転車駐車場（有料）,15,7,7,1,1,12,7,7,8,14,10,21,110
佐藤クリニック,10,8,6,3,4,8,4,3,12,20,16,15,109
志村三丁目駅第１自転車駐車場（有料）,13,5,7,12,7,10,7,6,8,6,14,13,108
双葉町クリニック,14,2,,7,11,6,8,,,51,,9,108
東武練馬駅北口第２自転車駐車場(有料),26,7,9,18,2,4,4,5,7,9,8,9,108
はすのみ児童館,14,10,21,6,6,10,2,7,9,5,4,13,107
浮間舟渡駅自転車駐車場（有料）,6,9,9,2,10,5,11,4,8,7,14,22,107
木村内科クリニック,5,19,5,6,2,6,5,6,6,34,9,4,107
リサイクルプラザ,4,5,12,3,5,13,15,14,10,9,8,8,106
ロータスホール,13,2,2,19,14,7,8,8,17,5,6,5,106
西台駅高架下自転車駐車場（有料）,18,15,11,9,6,8,6,5,15,5,3,5,106
仲町区民事務所,11,10,11,20,9,8,10,1,5,6,6,7,104
堀井医院,7,2,,7,7,7,15,7,25,16,10,,103
こども動物園高島平分園,6,23,4,2,4,8,14,12,5,4,9,11,102
ときわ台駅南口自転車駐車場（有料）,9,16,11,4,4,3,6,8,11,3,9,18,102
志村福祉事務所,3,3,11,6,3,11,17,14,13,6,9,6,102
ときわ台駅北口第３自転車駐車場（有料）,16,16,9,7,6,16,7,1,7,,11,5,101
蓮根メディカルクリニック,4,13,6,5,6,4,5,5,33,20,,,101
赤星医院,18,6,,6,9,10,2,11,1,17,12,8,100
仲町ふれあい館,4,9,7,13,1,7,15,6,12,11,9,6,100
西尾医院,10,17,,11,,4,,11,10,18,12,6,99
板橋公園,,4,6,11,14,14,11,8,9,5,6,11,99
蓮根第二児童館,10,9,26,7,11,5,12,5,2,3,1,8,99
萩原医院,5,5,10,6,8,3,4,8,14,18,12,5,98
成増駅北口第３自転車駐車場（有料）,23,6,9,5,3,2,1,5,10,7,11,15,97
板橋区役所前駅,19,10,6,4,5,10,11,3,4,6,5,14,97
教育科学館,2,10,22,4,6,7,15,5,3,3,6,13,96
香川内科小児科医院,4,11,4,5,8,4,8,8,5,27,6,6,96
板橋本町駅第１自転車駐車場（有料）,23,8,6,7,4,7,5,2,8,5,13,8,96
新板橋駅前高架下自転車駐車場（有料）,11,10,3,7,1,7,7,2,7,11,13,15,94
赤塚ルート,,,,94,,,,,,,,,94
熱帯環境植物館（グリーンドームねったいかん）,8,4,9,1,1,7,9,13,10,12,11,9,94
花岡医院,13,10,4,5,,4,6,3,8,27,6,7,93
小竹向原駅自転車駐車場（有料ゲート式）,10,7,6,4,9,6,7,6,12,5,13,8,93
ときわ台はしもと小児科アレルギー科,12,18,9,,4,,,7,13,15,13,,91
大山東集会所,2,6,10,2,5,6,10,15,9,14,8,4,91
内村医院,9,4,,9,5,7,4,10,10,15,13,5,91
南部公園事務所,5,2,4,13,25,3,7,8,5,6,4,7,89
下赤塚駅周辺放置禁止区域図,12,2,1,15,4,9,8,3,6,7,11,10,88
徳丸ふれあい館,2,4,6,4,2,7,14,7,10,11,5,15,87
板橋駅西口自転車駐車場（有料コイン式）,9,6,3,,3,7,13,5,10,7,15,9,87
