,2020年,,,,,,,,,2021年,,,
行ラベル,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,総計
総計,7010,4795,2519,2802,2327,2495,7766,2532,3460,2221,2104,2236,42267
紅梅小学校,600,585,5,2,1,1,3,,1,1,1,,1200
上板橋第二小学校,335,481,14,2,1,2,7,2,1,1,,,846
板橋区役所前駅高架下自転車駐車場（有料）,96,41,22,35,38,30,79,33,24,23,33,36,490
志村第五小学校,247,162,17,25,11,,,,,,,1,463
板橋区保健所,210,43,14,13,22,21,70,19,22,11,6,2,453
熱帯環境植物館,29,20,64,53,96,52,7,7,20,13,13,18,392
西台駅高架下自転車駐車場（有料）,55,37,24,36,38,36,34,32,27,18,20,31,388
板橋区役所前駅周辺放置禁止区域図,17,11,36,14,38,19,124,39,18,11,39,21,387
赤塚新町小学校,110,186,35,3,,,,,,,,1,335
板橋本町駅第４自転車駐車場（有料）,33,26,23,14,18,21,66,25,20,21,20,18,305
板橋区医師会病院,11,80,7,2,2,66,46,16,6,17,22,22,297
西台粗大ごみセンター,38,44,27,16,30,8,17,19,17,16,11,14,257
板橋区役所,22,24,17,30,16,15,68,16,12,13,7,17,257
上板橋第二中学校,106,95,1,13,2,1,3,15,1,,1,5,243
西台駅東自転車駐車場（有料）,28,26,22,22,16,11,27,13,18,4,16,30,233
赤塚健康福祉センター,122,37,9,4,6,6,12,8,5,8,3,3,223
上板橋健康福祉センター,101,26,15,16,10,6,10,6,7,4,8,3,212
成増小学校,73,113,4,5,,,,2,1,,,,198
板橋区役所前駅南自転車駐車場（有料）,32,21,18,13,13,8,46,7,14,7,8,9,196
志村坂上駅自転車駐車場（有料コイン式）,11,7,7,9,18,24,25,19,12,14,19,21,186
成増駅南口第４自転車駐車場（有料）,39,28,9,13,7,17,6,12,15,7,16,13,182
桜川地域センター,25,23,20,16,17,4,27,9,12,14,4,7,178
常盤台地域センター,33,36,8,14,7,11,11,9,11,14,13,10,177
大谷口地域センター,41,53,15,13,6,9,5,10,7,7,2,7,175
小竹向原駅南自転車駐車場（有料）,83,28,8,5,9,5,3,5,11,5,2,10,174
板橋健康福祉センター,14,9,16,10,7,10,70,9,9,6,5,9,174
板橋西清掃事務所,59,23,10,8,19,12,10,5,12,2,5,5,170
美術館,12,3,45,31,21,8,12,10,12,6,4,5,169
板橋第二中学校,104,43,4,9,3,1,,,,2,,1,167
志村坂上地域センター,32,45,10,8,5,7,18,8,14,6,4,8,165
赤塚支所,14,22,13,27,12,9,8,10,18,14,5,12,164
本蓮沼駅第３自転車駐車場（有料）,5,16,7,15,4,15,69,11,9,3,3,2,159
新板橋駅前高架下自転車駐車場（有料）,35,28,9,8,10,13,18,7,11,6,6,7,158
大和町自転車駐車場（有料）,21,19,34,2,10,4,32,7,6,2,8,11,156
志村健康福祉センター,20,11,16,18,5,3,11,6,10,13,17,23,153
No.28遺跡,2,3,1,19,9,25,18,2,,51,11,11,152
板橋本町駅周辺放置禁止区域図,9,4,8,3,8,1,88,4,4,9,10,1,149
情報処理センター,8,4,8,11,6,5,59,6,10,5,5,21,148
YUMEパーク・大和町自転車駐車場（有料コイン式）,8,7,13,5,17,14,47,6,8,8,6,6,145
板橋地域センター,23,13,2,7,7,7,35,12,9,10,4,10,139
成増地域センター（アクトホール）,33,29,4,10,7,6,11,8,9,3,5,12,137
板橋駅自転車駐車場（有料）,13,9,11,13,16,11,13,6,9,14,8,10,133
本蓮沼駅自転車駐車場（有料）,34,9,7,12,5,10,24,9,8,2,8,5,133
蓮根駅自転車駐車場（有料）,45,11,11,9,12,6,7,6,4,4,6,9,130
富士見地域センター,35,24,11,17,,3,7,6,7,5,5,9,129
板橋第五小学校,60,56,1,5,,,,2,2,1,,,127
仲町地域センター,23,31,7,11,5,2,7,13,7,13,3,3,125
仲宿地域センター,21,10,5,5,5,4,35,4,16,6,3,9,123
成増駅南口自転車駐車場（有料）,39,26,10,3,4,6,4,7,14,3,1,5,122
大山駅前自転車駐車場（有料）,33,27,5,6,6,3,8,5,14,2,9,3,121
浮間舟渡駅自転車駐車場（有料）,24,19,14,12,6,7,11,8,4,2,1,9,117
ときわ台駅北口第１自転車駐車場（有料）,42,24,4,7,11,7,7,1,4,2,2,3,114
高島平地域センター,30,23,13,11,6,3,7,6,7,4,1,3,114
大山駅周辺放置禁止区域図,3,6,8,7,11,8,33,2,4,6,14,7,109
いたばし観光センター,5,1,8,4,4,6,37,14,9,14,4,1,107
徳丸タウンブリッジ自転車駐車場（有料）,26,21,8,2,10,4,7,1,9,3,10,6,107
板橋本町駅第１自転車駐車場（有料）,5,11,3,6,8,5,39,5,5,5,9,6,107
新河岸水再生センター前臨時駐車場,6,10,16,6,11,11,8,10,3,2,8,15,106
西高島平駅前自転車駐車場（有料）,33,17,8,,6,2,1,7,12,2,11,7,106
志村坂上駅北自転車駐車場（有料コイン式）,9,6,5,12,13,11,8,8,6,6,10,11,105
成増駅南口第５自転車駐車場（有料）,15,14,9,6,3,15,3,8,17,1,8,6,105
上板橋駅南口自転車駐車場（有料）,49,26,6,1,2,1,11,,3,,1,3,103
板橋郵便局前自転車保管所,9,,4,11,17,8,36,4,8,1,4,,102
蓮根地域センター,26,13,3,5,7,5,8,8,7,6,2,11,101
エコポリスセンター,7,18,5,5,6,27,10,4,7,2,5,3,99
清水児童館,15,5,2,3,6,1,53,2,5,1,2,4,99
あずさわ児童館,13,6,5,13,8,5,13,8,11,6,5,4,97
高島平駅第２自転車駐車場（有料）,17,19,10,4,9,8,10,4,7,1,,6,95
板橋区役所前駅東自転車駐車場（有料）,3,3,1,4,3,7,48,4,8,2,4,6,93
新板橋駅・板橋駅・下板橋駅周辺放置禁止区域図,6,2,5,7,7,7,18,8,9,8,12,3,92
高島陸橋交差点A自転車駐車場（有料）,20,9,4,6,11,6,2,3,10,3,11,6,91
高島平健康福祉センター,44,12,7,3,2,5,3,1,4,,1,7,89
上板橋駅北自転車駐車場（有料）,45,11,4,7,4,4,1,4,5,1,1,2,89
下赤塚地域センター,19,4,8,12,3,6,2,10,6,7,3,8,88
板橋福祉事務所,48,16,1,,1,1,20,1,,,,,88
成増駅北口第２自転車駐車場（有料）,12,8,8,1,4,7,3,7,13,7,6,11,87
保健福祉オンブズマン室,,,1,,1,2,81,,,,,2,87
熊野地域センター,10,16,5,11,4,6,6,6,10,6,5,1,86
上板橋駅周辺の放置禁止区域図,2,5,1,6,8,7,16,11,30,,,,86
清水地域センター,14,9,1,6,2,,28,4,3,6,5,8,86
本蓮沼駅周辺放置禁止区域図,,2,1,1,,5,59,1,9,1,5,2,86
上板橋駅周辺放置禁止区域図,,,,1,1,1,17,,26,14,13,12,85
常盤台区民事務所,4,6,5,7,4,7,5,6,19,10,4,8,85
成増駅周辺放置禁止区域図,2,7,17,6,9,6,4,6,5,5,11,7,85
徳丸地域センター,32,6,3,12,6,2,3,3,9,,5,4,85
消費者センター,,1,1,2,1,,62,3,,3,1,9,83
板橋区役所前駅西自転車駐車場（有料）,7,6,4,,6,2,25,9,9,3,8,3,82
加賀小学校,39,10,,4,6,,20,,,1,,1,81
中台地域センター,16,10,1,11,7,9,4,8,6,5,3,1,81
中板橋駅周辺放置禁止区域図,3,1,6,2,2,6,39,1,4,3,8,6,81
南板橋児童館,26,5,4,1,4,3,3,4,5,14,2,8,79
板橋東清掃事務所,7,13,4,5,2,7,13,7,7,3,6,5,79
きたのホール,4,34,7,3,4,2,4,4,4,5,4,3,78
下赤塚駅周辺放置禁止区域図,9,6,5,11,7,6,8,5,3,3,9,5,77
氷川児童館,10,3,2,5,5,1,31,13,,2,1,4,77
新河岸水再生センター前臨時駐車場入口,1,1,8,16,4,11,4,7,5,4,8,7,76
ときわ台駅周辺放置禁止区域図,10,4,9,4,4,3,17,6,5,4,7,2,75
高島平駅第１自転車駐車場（有料）,9,4,5,5,7,9,8,2,11,1,10,4,75
仲宿保育園,17,9,,,,1,43,4,,,1,,75
志村三丁目駅第３自転車駐車場（有料）,24,9,,2,6,1,4,5,3,2,7,11,74
志村福祉事務所,41,12,6,1,1,3,3,2,3,,,1,73
上板橋小学校,2,,,67,,,2,,1,,,,72
蓮根駅・西台駅周辺放置禁止区域図,7,3,2,6,5,5,11,1,10,5,14,3,72
大山東児童館,7,2,2,5,3,2,12,10,6,7,6,9,71
下赤塚駅前集会所,38,10,2,5,3,2,7,,,,,3,70
観明寺,,1,2,,4,,2,2,57,2,,,70
No.165遺跡,2,5,10,6,7,6,8,2,2,6,4,11,69
赤塚児童館,16,5,5,3,3,8,1,7,3,7,4,7,69
番場児童遊園,,,1,1,,,64,1,,,2,,69
