,2020年,,,,,,,,,2021年,,,
行ラベル,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,総計
総計,21256,22110,30602,39435,25742,26080,24958,23828,21503,20604,21792,25082,302992
都市計画マップ,4146,3964,5432,5437,4738,4938,5301,4712,4465,4492,5001,5833,58459
(指定なし),4819,4946,4893,4850,4936,4831,4773,4849,4660,4545,4222,4390,56714
全施設マップ,3494,3461,4133,3677,3546,3320,3214,3341,2994,2681,2791,3226,39878
環境・公園マップ,1455,1639,2501,2550,2307,2130,2314,2353,1243,1056,1733,1224,22505
指定道路,1431,1372,1798,1814,1644,1685,1907,1666,1719,1918,1910,2219,21083
バリアフリーマップ,1202,1372,2256,1760,1817,1667,1751,1603,1654,1227,1298,2154,19761
窓口マップ,610,1145,1061,969,1134,1076,992,727,765,965,949,1346,11739
子ども・子育てマップ,521,696,1412,932,1026,1153,1163,891,855,710,750,989,11098
当日投票所マップ,88,22,505,10164,44,28,15,11,17,62,12,18,10986
体育施設マップ,591,571,753,992,1252,1202,715,843,480,475,795,1027,9696
集会施設マップ,502,568,794,656,564,543,744,538,408,477,380,463,6637
観光・文化財ガイドマップ,249,298,493,482,436,567,371,383,381,383,444,414,4901
学校・社会教育施設マップ,386,404,629,554,446,486,496,381,193,177,179,215,4546
健康福祉施設マップ,429,338,435,431,349,313,336,304,302,325,349,482,4393
期日前投票所マップ,1,6,1836,2424,,,,1,,1,,,4269
板橋区遺跡分布地図,203,267,396,370,309,381,304,351,322,269,358,421,3951
健康づくり協力店マップ,351,203,197,436,231,389,218,207,211,249,290,230,3212
休日医科・歯科診療マップ,162,330,253,379,454,293,63,228,521,228,130,115,3156
その他行政・公共機関マップ,69,84,125,98,104,66,64,71,48,63,61,63,916
"街灯マップ（1/1,500で利用可）",46,42,64,65,58,59,74,74,85,160,49,116,892
休日調剤薬局マップ,45,120,168,109,96,63,44,32,58,30,29,50,844
避難所マップ,11,16,39,21,19,711,3,9,1,1,5,5,841
通学区域マップ,284,34,116,68,22,59,22,36,23,27,9,10,710
土のうステーション設置箇所,51,66,65,59,66,50,15,21,15,13,3,10,434
AEDマップ,20,18,36,25,20,17,10,26,14,3,12,7,208
道路工事箇所マップ,17,22,38,17,27,12,15,12,7,6,4,6,183
板橋区観光アプリ「ITA-マニア」デジタルスタンプラリー・スタンプ設置施設マップ,,,,,,,,118,34,18,,,170
消火器一覧マップ,15,12,35,17,16,6,9,13,2,12,10,18,165
文化・教養施設マップ,6,23,37,20,15,5,6,8,12,12,8,11,163
ひったくりマップ,17,14,32,20,16,4,5,5,1,5,2,2,123
銭湯マップ,10,16,35,12,15,10,6,4,2,8,2,3,123
災害時帰宅困難者の一時滞在施設マップ,8,12,31,16,16,6,3,2,2,1,2,6,105
拠点回収,12,15,3,11,9,6,3,8,9,5,3,7,91
TSマーク助成指定対象自転車店舗マップ,5,14,1,,10,4,2,,,,,,36
板橋のグルメマップ,,,,,,,,,,,2,1,3
道路工事箇所マップ(管理用),,,,,,,,,,,,1,1
