,2018年,,,,,,,,,2019年,,,
行ラベル,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,総計
総計,9241,6805,4526,5198,8246,5483,6746,6230,6737,7665,7588,8809,83274
熱帯環境植物館,229,197,133,124,168,135,119,101,110,118,98,95,1627
成増地域センター（アクトホール）,105,117,187,192,147,108,91,132,94,95,73,91,1432
上板橋第二小学校,9,21,44,92,154,129,223,132,131,136,185,151,1407
上板橋健康福祉センター,57,89,99,76,138,50,64,62,81,107,107,125,1055
紅梅小学校,9,21,34,26,71,98,153,116,99,128,153,146,1054
板橋区役所,102,96,93,77,108,97,94,84,60,67,73,94,1045
上板橋駅南口自転車駐車場（有料）,47,54,67,58,95,58,58,64,71,62,94,107,835
板橋区役所前駅高架下自転車駐車場（有料）,51,48,42,58,85,59,59,68,51,57,87,109,774
大山駅前自転車駐車場（有料）,32,25,32,49,69,67,80,68,56,61,44,89,672
仲町地域センター,14,7,12,6,23,61,97,70,74,91,105,95,655
常盤台地域センター,27,15,22,17,24,32,72,64,87,124,73,93,650
徳丸ヶ丘公園内集会所,43,37,39,33,79,32,104,69,50,33,40,30,589
西台粗大ごみセンター,33,59,39,40,34,41,72,37,66,61,64,38,584
小竹向原駅南自転車駐車場（有料）,34,48,37,51,76,39,53,29,39,35,63,70,574
下板橋駅前集会所,18,13,6,8,24,22,42,64,102,112,60,95,566
赤塚新町小学校,17,46,50,55,64,50,61,28,43,33,54,55,556
板橋区医師会病院,20,37,9,69,16,33,33,37,63,123,37,51,528
浮間舟渡駅自転車駐車場（有料）,15,28,35,56,93,53,39,29,26,51,31,53,509
板橋区役所前駅南自転車駐車場（有料）,42,33,33,23,51,53,41,56,35,27,44,62,500
下赤塚駅前集会所,31,20,12,8,28,34,32,38,49,91,72,82,497
成増小学校,9,17,25,21,41,55,82,36,43,54,63,44,490
西高島平駅前自転車駐車場（有料）,36,57,40,46,47,18,30,32,41,42,47,51,487
板橋交通公園内集会所,55,30,39,38,84,22,57,33,27,46,16,30,477
