主とする漁業種類階層コード,主とする漁業種類,総数（経営体）,漁船非使用（経営体）,漁船使用／合計（経営体）,漁船使用／無動力漁船のみ（経営体）,漁船使用／船外機付漁船（経営体）,漁船使用／動力漁船使用／小計（経営体）,漁船使用／動力漁船使用／1t未満（経営体）,漁船使用／動力漁船使用／1t以上3t未満（経営体）,漁船使用／動力漁船使用／3t～5t（経営体）,漁船使用／動力漁船使用／5t～10t（経営体）,漁船使用／動力漁船使用／10t～20t（経営体）,漁船使用／動力漁船使用／20t～30t（経営体）,漁船使用／動力漁船使用／30t～50t（経営体）,漁船使用／動力漁船使用／50t～100t（経営体）,漁船使用／動力漁船使用／100t～200t（経営体）,漁船使用／動力漁船使用／200t～500t（経営体）,漁船使用／動力漁船使用／500t～1000t（経営体）,漁船使用／動力漁船使用／1000t以上3000t未満（経営体）,漁船使用／動力漁船使用／3000t以上（経営体）,小型定置網（経営体）,海面養殖業（経営体）,（再掲）沿岸漁業層（経営体）,（再掲）中・小漁業層（経営体）,（再掲）大規模漁業層（経営体）
0,総数,512,35,472,-,76,396,10,62,77,174,71,1,-,-,1,-,-,-,-,2,3,439,73,-
1,底びき網,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,遠洋底びき網,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,沖合底びき網／２そうびき,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,まき網,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,大中型まき網／１そうまき遠洋かつお・まぐろ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,大中型まき網／１そうまき近海かつお・まぐろ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,大中型まき網／１そうまきその他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,中・小型まき網,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,刺網,69,6,63,-,24,39,1,11,11,11,4,1,-,-,-,-,-,-,-,-,-,64,5,-
2,その他の刺網,69,6,63,-,24,39,1,11,11,11,4,1,-,-,-,-,-,-,-,-,-,64,5,-
1,さんま棒受網,1,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-
1,小型定置網,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-
1,その他の網漁業,2,-,2,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
1,はえ縄,1,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-
2,遠洋まぐろはえ縄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,近海まぐろはえ縄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,沿岸まぐろはえ縄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,その他のはえ縄,1,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-
