"年度","ショートステイ（利用延日数）[日]","トワイライトステイ(利用延日数)[日]","子育てひろば（利用者数）[人]","乳幼児一時預かり（利用者数）[人]","要支援家庭ショートステイ（利用延日数）[日]"
"2014","1167","755","25476","5383",
"2015","907","882","27182","6008",
"2016","930","1039","22929","6112",
"2017","1108","1295","24707","5937",
"2018","1195","1146","22859","5513","90"

"令和元年度港区行政資料集　みなと子育て応援プラザPokke事業実施状況","Ver201903",,,,
