階層コード,地域コード,地域,人口総数／平成18年11月１日,人口総数／平成18年10月１日,人口総数／平成17年11月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12706332,12696438,12603894,9894,0.08,102438,0.81
1,13100,区部,8623849,8616229,8544649,7620,0.09,79200,0.93
1,13200,市部,3992814,3990533,3969225,2281,0.06,23589,0.59
1,13300,郡部,60300,60309,60480,-9,-0.01,-180,-0.3
1,13350,島部,29369,29367,29540,2,0.01,-171,-0.58
,,,,,,,,,
住民基本台帳による世帯と人口_平成18年11月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
