階層コード,地域コード,地域,人口総数／平成18年1月１日,人口総数／平成17年12月１日,人口総数／平成17年１月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12611677,12608732,12514855,2945,0.02,96822,0.77
1,13100,区部,8549896,8547899,8477031,1997,0.02,72865,0.86
1,13200,市部,3971791,3970828,3946912,963,0.02,24879,0.63
1,13300,郡部,60475,60471,60855,4,0.01,-380,-0.62
1,13350,島部,29515,29534,30057,-19,-0.06,-542,-1.8
,,,,,,,,,
住民基本台帳による世帯と人口_平成18年1月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
