"年度[西暦]","車道幅員別","国道 延長[メートル]","国道 面積[平方メートル]","都道 延長[メートル]","都道 面積[平方メートル]","自動車専用道 延長[メートル]","自動車専用道 面積[平方メートル]","区道 延長[メートル]","区道 面積[平方メートル]","区有通路 延長[メートル]","区有通路 面積[平方メートル]","合計 延長[メートル]","合計 面積[平方メートル]"
"2015","合計","13946","515914","47752","1532136","20207","478019","223281","1862928","513","2438","305699","4391435"
"2016","合計","13946","515914","47753","1532889","20207","478019","222888","1860475","513","2438","305307","4389735"
"2017","合計","13946","515914","47755","1532170","20207","478019","222144","1857040","513","2438","304565","4386161"
"2018","合計","13946","516736","47754","1532287","20207","485787","222042","1858278","513","2438","304462","4395526"
"2019","5.5ｍ未満","0","0","35","3599","0","0","136094","716633","490","2119","136619","722351"
"2019","5.5ｍ以上","0","0","11577","226846","0","0","75600","875461","23","319","87200","1102626"
"2019","13.0ｍ以上","0","0","21312","635030","0","0","7199","173223","0","0","28511","808253"
"2019","19.5ｍ以上","13946","516830","14830","666824","20207","485787","2939","92319","0","0","51922","1761760"
"2019","合計","13946","516830","47754","1532299","20207","485787","221832","1857636","513","2438","304252","4394990"

"令和元年度港区行政資料集　道路の種類別延長及び面積","Ver201904",,,,,,,,,,,,
