"年度","老人クラブ数","会員数[人]"
"2018","51","2558"
"2019","52","2561"
"2020","49","2443"
"2021","48","2319"
"2022","47","2207"

"令和4年度港区行政資料集　老人クラブ数及び会員数","Ver202204",
