"年月[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。","知っている（利用したことがある）","14","2.1"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。","知っているが利用したことはない","127","19.3"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。","知らない","515","78.3"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。","無回答","2","0.3"

"第32回港区民世論調査単純集計表・区政全般Q8","Ver202003",,,,
