"年度[西暦]","区立 白金の森 定員[人]","区立 白金の森 入所者数[人]","区立 港南の郷 定員[人]","区立 港南の郷 入所者数[人]","区立 サン・サン赤坂 定員[人]","区立 サン・サン赤坂 入所者数[人]","区立 定員合計[人]","区立 入所者数合計[人]","民間 麻布慶福苑 定員[人]","民間 麻布慶福苑 入所者数[人]","民間 ベル 定員[人]","民間 ベル 入所者数[人]","民間 新橋さくらの園 定員[人]","民間 新橋さくらの園 入所者数[人]","民間 ありすの杜きのこ南麻布 定員[人]","民間 ありすの杜きのこ南麻布 入所者数[人]","民間 洛和ヴィラ南麻布 定員[人]","民間 洛和ヴィラ南麻布 入所者数[人]","民間 南麻布シニアガーデンアリス 定員[人]","民間 南麻布シニアガーデンアリス 入所者[人]","民間 定員合計[人]","民間 入所者数合計[人]"
"2019","90","90","90","87","80","80","260","257","100","95","51","50","100","99","118","110","100","100","100",,"569","454"
"2020","90","89","90","90","80","80","260","259","100","99","51","50","100","97","118","106","100","97","100","29","569","478"
"2021","90","88","90","87","80","79","260","254","100","99","51","50","100","93","118","112","100","99","100","74","569","527"
"2022","90","87","90","86","80","78","260","251","100","96","51","48","100","92","118","109","100","95","100","84","569","524"
"2023","90","90","90","83","80","74","260","247","100","92","51","50","100","95","118","96","100","94","100","87","569","514"

"令和5年度港区行政資料集　特別養護老人ホーム入所者数","Ver202304",,,,,,,,,,,,,,,,,,,,,
