"年度","あっせん/融資","中小企業改善融資 件数[件]","中小企業改善融資 金額[円]","小規模企業小口融資 件数[件]","小規模企業小口融資 金額[円]","年末特別あっせん融資 件数[件]","年末特別あっせん融資 金額[円]","計 件数[件]","計 金額[円]"
"2014","あっせん","1557","15234020000","0","0","0","0","1557","15234020000"
"2014","融資","1138","9440610000","0","0","0","0","1138","9440610000"
"2015","あっせん","1556","17312900000","0","0","0","0","1556","17312900000"
"2015","融資","1175","11447700000","0","0","0","0","1175","11447700000"
"2016","あっせん","1515","16803220000","0","0","0","0","1515","16803220000"
"2016","融資","1200","11878490000","0","0","0","0","1200","11878490000"
"2017","あっせん","1243","13136010000","0","0","0","0","1243","13136010000"
"2017","融資","1024","9778670000","0","0","0","0","1024","9778670000"
"2018","あっせん","1236","13848150000","0","0","0","0","1236","13848150000"
"2018","融資","940","9264450000","0","0","0","0","940","9264450000"

"令和元年度港区行政資料集　中小企業融資状況","Ver201903",,,,,,,,
