"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2005120101,"麻布",,9997,9997,9997,9997,,,,9997,,9997,,9997,9997,
2005120102,"麻布",,9997,9997,9997,9997,,,,9997,,9997,,9997,9997,
2005120103,"麻布",,9997,9997,9997,9997,,,,9997,,9997,,9997,9997,
2005120104,"麻布",,9997,9997,9997,9997,,,,9997,,9997,,9997,9997,
2005120105,"麻布",,9997,9997,9997,9997,,,,9997,,9997,,9997,9997,
2005120106,"麻布",,9997,9997,9997,9997,,,,9997,,9997,,9997,9997,
2005120107,"麻布",,9997,9997,9997,9997,,,,9997,,9997,,9997,9997,
2005120108,"麻布",,9997,9997,9997,9997,,,,9997,,9997,,9997,9997,
2005120109,"麻布",,9997,9997,9997,9997,,,,9997,,9997,,9997,9997,
2005120110,"麻布",,9997,9997,9997,9997,,,,9997,,9997,,9997,9997,
2005120111,"麻布",,9997,9997,9997,9997,,,,9997,,9997,,9997,9997,
2005120112,"麻布",,9997,9997,9997,9997,,,,9997,,9997,,9997,9997,
2005120113,"麻布",,9998,9998,9998,9998,,,,9998,,13,"ESE",109,31,
2005120114,"麻布",,9998,9998,9998,12,,,,9998,,9,"SSE",116,33,
2005120115,"麻布",,33,46,79,5,,,,33,,3,"SE",111,37,
2005120116,"麻布",,16,46,62,6,,,,26,,4,"S",108,40,
2005120117,"麻布",,15,49,64,3,,,,31,,3,"ESE",106,42,
2005120118,"麻布",,37,52,89,2,,,,21,,5,"E",94,44,
2005120119,"麻布",,27,50,77,1,,,,19,,3,"ESE",93,47,
2005120120,"麻布",,22,48,70,2,,,,24,,4,"WSW",102,46,
2005120121,"麻布",,33,47,80,2,,,,37,,5,"E",96,53,
2005120122,"麻布",,32,47,79,1,,,,35,,1,"E",90,56,
2005120123,"麻布",,55,48,103,1,,,,30,,2,"SW",85,61,
2005120124,"麻布",,151,56,207,2,,,,43,,12,"WNW",85,52,
2005120201,"麻布",,158,51,209,2,,,,44,,12,"NNW",75,58,
2005120202,"麻布",,129,45,174,2,,,,44,,16,"WNW",69,56,
2005120203,"麻布",,95,40,135,2,,,,42,,8,"NNW",65,53,
2005120204,"麻布",,68,35,103,2,,,,25,,11,"NNW",63,53,
