"施設名","年度","宿泊利用人員 大人[人]","宿泊利用人員 小人[人]","宿泊利用人員 合計[人]","定員[人]","人員利用率[%]","部屋数","部屋利用率[%]"
"箱根湯本 箱根路 開雲","2016","97","2","99","10","39.6","2","86.0"
"湯河原 おんやど惠","2019","195","2","197","10","43.8","2","91.1"
"熱海 ハートピア熱海","2019","184","8","192","10","42.7","2","87.8"

"令和2年度港区行政資料集　施設利用状況一覧 臨時借上保養施設","Ver202003",,,,,,,
