"年度","出前授業講座件数[件]","地域ボランティア登録団体件数[件]","出前授業実績件数[件]","職場体験登録団体件数[件]","地域学校協働本部設置数[件]"
"2017","189","98","117","70","4"
"2018","198","98","141","70","9"
"2019","202","94","198","70","18"
"2020","193","93","90","70","22"
"2021","194","93","88","70","25"

"令和4年度港区行政資料集　地域学校協働活動推進事業","Ver202203",,,,
