"性別","～19歳[人]","20～29歳[人]","30～39歳[人]","40～49歳[人]","50～59歳[人]","60～65歳[人]","計[人]"
"男","1","204","267","191","296","101","1060"
"女","1","292","322","239","267","79","1200"
"合計","2","496","589","430","563","180","2260"

"令和4年度港区行政資料集　男女別年齢層別職員数（再任用短時間勤務職員を含む）","Ver202204",,,,,,
