"年度","団体数 芝地区","団体数 麻布地区","団体数 赤坂地区","団体数 高輪地区","団体数 芝浦港南地区","団体数 合計","会員数 芝地区[人]","会員数 麻布地区[人]","会員数 赤坂地区[人]","会員数 高輪地区[人]","会員数 芝浦港南地区[人]","会員数 合計[人]"
"2016","77","43","35","48","30","233","13791","12313","7005","17607","14551","65267"
"2017","76","43","35","48","32","234","13499","12076","7103","17056","16933","66667"
"2018","76","43","35","48","32","234","14201","12010","7095","17098","16823","67227"
"2019","74","42","35","48","31","230","13856","11966","7124","16590","16641","66177"
"2020","74","42","35","47","30","228","13167","11894","7029","16398","16625","65113"
"2021","73","41","35","46","30","225","13151","12044","6980","16180","16561","64916"

"令和3年度港区行政資料集　町会・自治会","Ver202104",,,,,,,,,,,
