階層コード,地域コード,地域,人口総数／平成16年1月１日,人口総数／平成15年12月１日,人口総数／平成15年１月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12429887,12430841,12340432,-954,-0.01,89455,0.72
1,13100,区部,8425620,8428165,8369438,-2545,-0.03,56182,0.67
1,13200,市部,3912575,3910919,3878610,1656,0.04,33965,0.88
1,13300,郡部,61220,61261,61481,-41,-0.07,-261,-0.42
1,13350,島部,30472,30496,30903,-24,-0.08,-431,-1.39
,,,,,,,,,
住民基本台帳による世帯と人口_平成16年1月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
