"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_通称","名称_英語","文化財分類","種類","場所名称","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","員数（数）","員数（単位）","法人番号","所有者等","文化財指定日","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","画像","画像_ライセンス","概要","概要_英語","説明","説明_英語","URL","備考"
"131083","131083100001","江東区","清洲橋","キヨスバシ","","Kiyosubasi-Bridge","国指定重要文化財","建造物","東京都","131083","","東京都江東区清澄1～中央区日本橋中洲","東京都","江東区","清澄1丁目","～中央区日本橋中洲","","35.682460","139.791776","","","(03)3542-3726","","","","","1350024","1","橋","","東京都","2007-06-18","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/17342.html",""
"131083","131083100002","江東区","石造燈籠　昭和２年在銘　一対","セキゾウトウロウ　ショウワ２ネンザイメイ　イッツイ","","Stone lantern A pair of having the maker's name inscribed with the year 1927","江東区登録文化財","建造物","深川稲荷神社","131083","","東京都江東区清澄2-12-12","東京都","江東区","清澄2丁目","12-12","","35.682910","139.796847","","","(03)3641-8059","","","","","1350024","1","対","8010605000246","深川稲荷神社","1996-03-22","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/ichiran/13474.html","無住社で、町会が管理運営"
"131083","131083100003","江東区","石造燈籠　林忠旭奉納寛永寺旧蔵","セキゾウトウロウ　ハヤシタダアキラホウノウカンエイジキュウゾウ","","Stone light basket Tadaakira fate Hayashi dedication Kanei-ji Temple old stock","江東区登録文化財","建造物","本誓寺","131083","","東京都江東区清澄3-4-23","東京都","江東区","清澄3丁目","4-23","","35.681383","139.797588","","","","","","","","1350024","1","基","","本誓寺","1987-03-26","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/15073.html",""
"131083","131083100004","江東区","新大橋親柱","シンオオハシオヤバシラ","","The Shinohashi main pillar","江東区登録文化財","建造物","新大橋東詰公園","131083","","東京都江東区新大橋1-2新大橋東詰公園","東京都","江東区","新大橋1丁目","2 新大橋東詰公園","","35.687659","139.793454","","","(03)3542-3726","","","","","1350007","1","基","","東京都","2010-03-26","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/88744.html",""
"131083","131083100005","江東区","コンクリート造鳥居　昭和11年在銘","コンクリートゾウトリイ　ショウワ１１ネンザイメイ","","Concrete Torii Having the maker's name inscribed  with the year 1936","江東区登録文化財","建造物","八名川稲荷神社","131083","","東京都江東区新大橋3-1-4","東京都","江東区","新大橋3丁目","1-4","","35.686457","139.795331","","","","","","","","1350007","1","基","","八名川稲荷神社","2000-03-27","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/15074.html",""
"131083","131083100006","江東区","石造燈籠　昭和９年在銘　一対","セキゾウトウロウ　ショウワ９ネンザイメイ　イッツイ","","Stone light basket A pair of having the maker's name inscribed in 1934","江東区登録文化財","建造物","深川神明宮","131083","","東京都江東区森下1-3-17","東京都","江東区","森下1丁目","3-17","","35.686682","139.797309","","","(03)3631-5548","","","","","1350004","1","対","7010605000247","深川神明宮","1997-03-28","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/ichiran/13474.html",""
"131083","131083100007","江東区","石造燈籠　初代中村歌右衛門奉納","セキゾウトウロウ　ショダイナカムラウタエモンホウノウ","","Stone light basket The first Utaemon Nakamura dedication","江東区登録文化財","建造物","浄心寺","131083","","東京都江東区平野2-4-25","東京都","江東区","平野2丁目","4-25","","35.678433","139.801951","","","(03)3641-3390","","","","","1350023","1","基","","浄心寺","1982-03-15","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/ichiran/13474.html",""
"131083","131083100008","江東区","石造燈籠　伊達宗村奉納　一対","セキゾウトウロウ　ダテムネムラホウノウ　イッツイ","","Stone light basket A pair of Date Somura dedication","江東区登録文化財","建造物","浄心寺","131083","","東京都江東区平野2-4-25","東京都","江東区","平野2丁目","4-25","","35.678433","139.801951","","","(03)3641-3390","","","","","1350023","1","対","","浄心寺","1982-03-15","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/ichiran/13474.html",""
"131083","131083100009","江東区","石造燈籠　初代坂東彦三郎・津川哥門他奉納　一対","セキゾウトウロウ　ショダイバンドウヒコサブロウ・ツガワカモンホカホウノウ　イッツイ","","Stone light basket A pair of Hikozaburou Bando and Tsugawa kamon and other dedication","江東区登録文化財","建造物","浄心寺","131083","","東京都江東区平野2-4-25","東京都","江東区","平野2丁目","4-25","","35.678433","139.801951","","","(03)3641-3390","","","","","1350023","1","対","","浄心寺","1984-03-26","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/ichiran/13474.html",""
"131083","131083100010","江東区","石造宝篋印塔(残欠)　明暦３年在銘","セキゾウホウキョウイントウ（ザンケツ）　メイレキ３ネンザイメイ","","Stone Hokyou Seal tower (imperfection) Having the maker's name inscribed in 1657","江東区登録文化財","建造物","浄心寺","131083","","東京都江東区平野2-4-25","東京都","江東区","平野2丁目","4-25","","35.678433","139.801951","","","(03)3641-3390","","","","","1350023","1","基","","浄心寺","1984-03-26","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/ichiran/13474.html","墓地内にある"
"131083","131083100011","江東区","石造燈籠　服部正保他奉納　一対","セキゾウトウロウ　ハットリマサヤスホカホウノウ　イッツイ","","Stone light basket A pair of Hattori Masayasu dedication of other ones","江東区登録文化財","建造物","長専院","131083","","東京都江東区三好1-6-3","東京都","江東区","三好1丁目","6-3","","35.680705","139.800321","","","(03)3641-5848","","","","","1350022","1","対","7010605000230","長専院","1982-03-15","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/15080.html",""
"131083","131083100012","江東区","石造五輪塔（榊原式部大輔政倫墓）　天和３年在銘","セキゾウゴリントウ（サカキバラシキブダユウマサトモハカ）　テンナ３ネンザイメイ","","Stone five-tier-stone gravemarker (Shikibu Sakakibara Daisuke masanori tombstone) Having the maker's name inscribed in 1683","江東区登録文化財","建造物","長専院","131083","","東京都江東区三好1-6-3","東京都","江東区","三好1丁目","6-3","","35.680705","139.800321","","","(03)3641-5848","","","","","1350022","1","基","7010605000230","長専院","1982-03-15","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/15081.html",""
"131083","131083100013","江東区","石造燈籠　享保10年在銘","セキゾウトウロウ　キョウホウ１０ネンザイメイ","","Stone light basket Having the maker's name inscribed in 1725","江東区登録文化財","建造物","正覚院","131083","","東京都江東区三好1-7-7","東京都","江東区","三好1丁目","7-7","","35.680547","139.799813","","","","","","","","1350022","1","基","","正覚院","1987-03-26","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/15082.html",""
"131083","131083100014","江東区","石造燈籠　明和３年在銘","セキゾウトウロウ　メイワ３ネンザイメイ","","Stone light basket Having the maker's name inscribed in 1766","江東区登録文化財","建造物","正覚院","131083","","東京都江東区三好1-7-7","東京都","江東区","三好1丁目","7-7","","35.680547","139.799813","","","","","","","","1350022","1","基","","正覚院","1987-03-26","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/ichiran/13474.html",""
"131083","131083100015","江東区","石造五輪塔　貞享３年在銘","セキゾウゴリントウ　ジョウキョウ３ネンザイメイ","","Stone five-tier-stone gravemarker Having the maker's name inscribed in 1686","江東区登録文化財","建造物","龍光院","131083","","東京都江東区三好2-7-5","東京都","江東区","三好2丁目","7-5","","35.679983","139.803537","","","(03)3642-3437","","","","","1350022","1","基","","龍光院","1996-03-22","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/15084.html",""
"131083","131083100016","江東区","石造宝篋印塔（阿茶局墓塔)　寛永14年在銘","セキゾウホウキョウイントウ（アチャノツボネボトウ）　カンエイ１４ネンザイメイ","","Stone Hokyou Seal tower (Acha-no-tsubone grave tower) Having the maker's name inscribed in 1637","江東区指定文化財","建造物","雲光院","131083","","東京都江東区三好2-17-14","東京都","江東区","三好2丁目","17-14","","35.680513","139.803357","","","(03)3641-0591","","","","","1350022","1","基","5010605000166","雲光院","2001-03-29","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/15085.html","墓地内にある"
"131083","131083100017","江東区","石造宝篋印塔　寛永14年在銘","セキゾウホウキョウイントウ　カンエイ１４ネンザイメイ","","Stone Hokyou Seal tower Having the maker's name inscribed in 1637","江東区登録文化財","建造物","雲光院","131083","","東京都江東区三好2-17-14","東京都","江東区","三好2丁目","17-14","","35.680513","139.803357","","","(03)3641-0591","","","","","1350022","1","基","5010605000166","雲光院","1989-03-24","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/ichiran/13474.html","墓地内にある"
"131083","131083100018","江東区","石造五輪塔　寛文13年在銘","セキゾウゴリントウ　カンブン１３ネンザイメイ","","Stone five-tier-stone gravemarker Having the maker's name inscribed in 1673","江東区登録文化財","建造物","一言院(墓地)","131083","","東京都江東区三好3-7-5","東京都","江東区","三好3丁目","7-5","","35.680536","139.804301","","","","","","","","1350022","1","基","","一言院（墓地）","1986-03-26","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/15087.html","墓地内にある"
"131083","131083100019","江東区","石造燈籠　一対","セキゾウトウロウ　イッツイ","","A pair of stone light basket","江東区登録文化財","建造物","霊巖寺","131083","","東京都江東区白河1-3-32","東京都","江東区","白河1丁目","3-32","","35.680812","139.799953","","","(03)3641-1523","","","","","1350021","1","対","","霊巖寺","1988-03-24","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/15088.html","墓地内にある"
"131083","131083100020","江東区","石造燈籠　天明６年在銘　一対","セキゾウトウロウ　テンメイ６ネンザイメイ　イッツイ","","Stone light basket A pair of having the maker's name inscribed in 1786","江東区登録文化財","建造物","霊巖寺","131083","","東京都江東区白河1-3-32","東京都","江東区","白河1丁目","3-32","","35.680812","139.799953","","","(03)3641-1523","","","","","1350021","1","対","","霊巖寺","1988-03-24","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/15089.html","墓地内にある"
"131083","131083100021","江東区","石造燈籠　宝永４年在銘","セキゾウトウロウ　ホウエイ４ネンザイメイ","","Stone light basket Having the maker's name inscribed in 1707","江東区登録文化財","建造物","霊巖寺","131083","","東京都江東区白河1-3-32","東京都","江東区","白河1丁目","3-32","","35.680812","139.799953","","","(03)3641-1523","","","","","1350021","1","基","","霊巖寺","1988-03-24","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/15090.html","墓地内にある"
"131083","131083100022","江東区","永代橋","エイタイバシ","","Eitaibashi bridge","国指定重要文化財","建造物","東京都","131083","","東京都江東区永代1～中央区新川1","東京都","江東区","永代1丁目","永代2丁目～中央区新川1","","35.676232","139.787657","","","(03)3542-3726","","","","","1350034","1","橋","","東京都","2007-06-18","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/17343.html",""
"131083","131083100023","江東区","石造鳥居　昭和５年在銘","セキゾウトリイ　ショウワ５ネンザイメイ","","Stone Torii Having the maker's name inscribed in 1930","江東区登録文化財","建造物","福住稲荷神社","131083","","東京都江東区永代2-37","東京都","江東区","永代2丁目","37","","35.674928","139.792401","","","","","","","","1350034","1","基","","福住稲荷神社","2011-03-28","日月火水木金土","07:00:00","17:00:00","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/bunkazaisiseki/kenzobutsu/88748.html",""
"131083","131083100024","江東区","石造五輪塔","セキゾウゴリントウ","","Stone five-tier-stone gravemarker","江東区登録文化財","建造物","慧然寺","131083","","東京都江東区深川2-22-11","東京都","江東区","深川2丁目","22-11","","35.676873","139.799094","","","(03)3641-6832","","","","","1350033","1","基","1010605000178","慧然寺","1989-03-24","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/ichiran/13474.html","墓地内にある"
"131083","131083100025","江東区","石造燈籠　寛文８年在銘","セキゾウトウロウ　カンブン８ネンザイメイ","","Stone light basket having the maker's name inscribed in 1668","江東区登録文化財","建造物","慧然寺","131083","","東京都江東区深川2-22-11","東京都","江東区","深川2丁目","22-11","","35.676873","139.799094","","","(03)3641-6832","","","","","1350033","1","基","1010605000178","慧然寺","1998-03-30","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/ichiran/13474.html",""
"131083","131083100026","江東区","石造燈籠　浅野長矩奉納寛永寺旧蔵","セキゾウトウロウ　アサノナガノリホウノウカンエイジキュウゾウ","","Stone light basket Naganori Asano dedication Kanei-ji Temple old stock","江東区登録文化財","建造物","","131083","","東京都江東区深川2","東京都","江東区","深川2丁目","","","","","","","","","","","","1350033","1","基","","個人蔵","1983-03-25","","","","","","","","","","","https://www.city.koto.lg.jp/103020/bunkasports/bunka/ichiran/13474.html",""
