"情報の管理主体_全国地方公共団体コード","学校ID","学校コード","学校所在地_都道府県名","学校所在地_郡名","学校所在地_市区町村名","学校所在地_行政区名","学校所在地_全国地方公共団体コード","学校名称","学校名称_カナ","行政サービス拠点種別","通学区域_登録年月日","通学区域_廃止日","通学区域の住所","特記事項","ポリゴン_ファイル名"
"131083","131083H00001","","","","","","","明治小学校","メイジショウガッコウ","1503","2022-04-01","","平野１丁目;平野２丁目（２丁目１６番２０号を除く）;佐賀１丁目（６番２号、７番１号を除く）;佐賀２丁目;永代１丁目１４番;永代１丁目１５番;永代２丁目３４番～３７番;福住１丁目;福住２丁目;深川１丁目;深川２丁目１２番～３０番;冬木１９番～２３番;門前仲町１丁目１４番～２０番;清澄１丁目（３番１号を除く);清澄２丁目;清澄３丁目;三好１丁目;三好２丁目;白河１丁目;白河２丁目","",""
"131083","131083H00002","","","","","","","深川小学校","フカガワショウガッコウ","1503","2022-04-01","","清澄１丁目３番１号;森下２丁目;森下３丁目;森下４丁目;森下５丁目;高橋","",""
"131083","131083H00003","","","","","","","八名川小学校","ヤナガワショウガッコウ","1503","2022-04-01","","常盤１丁目;常盤２丁目;新大橋１丁目;新大橋２丁目;新大橋３丁目;森下１丁目","",""
"131083","131083H00004","","","","","","","臨海小学校","リンカイショウガッコウ","1503","2022-04-01","","佐賀１丁目６番２号;佐賀１丁目７番１号;永代１丁目１番～１３番;永代２丁目１番～３３番;門前仲町１丁目１番～１３番;牡丹１丁目;古石場１丁目１番～７番;越中島１丁目;越中島２丁目（２丁目１番３２号を除く）","",""
"131083","131083H00005","","","","","","","越中島小学校","エッチュウジマショウガッコウ","1503","2022-04-01","","越中島２丁目１番３２号;越中島３丁目;塩浜１丁目１番;塩浜１丁目２番;塩浜１丁目４番３３号南棟","",""
"131083","131083H00006","","","","","","","数矢小学校","カズヤショウガッコウ","1503","2022-04-01","","平野２丁目１６番２０号;平野３丁目２番１２号;深川２丁目１番～１１番;冬木１番～１８番;門前仲町２丁目;富岡１丁目;富岡２丁目;牡丹２丁目;古石場１丁目８番～１３番;木場２丁目７番～１９番;木場３丁目;木場４丁目;木場５丁目４番～１２番","",""
"131083","131083H00007","","","","","","","平久小学校","ヘイキュウショウガッコウ","1503","2022-04-01","","牡丹３丁目;古石場２丁目;古石場３丁目;塩浜１丁目３番～６番(４番３３号南棟を除く);木場１丁目;木場２丁目１番～６番;木場２丁目２０番;木場２丁目２１番;木場５丁目１番～３番;木場６丁目","",""
"131083","131083H00008","","","","","","","東陽小学校","トウヨウショウガッコウ","1503","2022-04-01","","平野４丁目４番２号;東陽３丁目６番～１９番;東陽３丁目２３番～２７番;東陽４丁目２番～１２番;東陽５丁目;東陽６丁目;東陽７丁目;南砂２丁目５番～７番","",""
"131083","131083H00009","","","","","","","南陽小学校","ナンヨウショウガッコウ","1503","2022-04-01","","東陽１丁目;東陽２丁目;東陽３丁目１番～５番;東陽３丁目２０番～２２番;東陽３丁目２８番;東陽４丁目１番;塩浜２丁目２９番;南砂２丁目１番１号～５号;新砂１丁目１番","",""
"131083","131083H00010","","","","","","","川南小学校","センナンショウガッコウ","1503","2022-04-01","","千石２丁目;千石３丁目;千田１６番～２３番;海辺;扇橋３丁目","",""
