"全国地方公共団体コード","地域コード","地方公共団体名","調査年月日","地域名","総人口","男性","女性","0-4歳の男性","0-4歳の女性","5-9歳の男性","5-9歳の女性","10-14歳の男性","10-14歳の女性","15-19歳の男性","15-19歳の女性","20-24歳の男性","20-24歳の女性","25-29歳の男性","25-29歳の女性","30-34歳の男性","30-34歳の女性","35-39歳の男性","35-39歳の女性","40-44歳の男性","40-44歳の女性","45-49歳の男性","45-49歳の女性","50-54歳の男性","50-54歳の女性","55-59歳の男性","55-59歳の女性","60-64歳の男性","60-64歳の女性","65-69歳の男性","65-69歳の女性","70-74歳の男性","70-74歳の女性","75-79歳の男性","75-79歳の女性","80-84歳の男性","80-84歳の女性","85歳以上の男性","85歳以上の女性","世帯数","備考"
"131083","100","江東区","2023-01-01","東陽地区","36941","18087","18854","811","684","815","773","629","600","559","552","951","927","1450","1353","1368","1257","1465","1523","1551","1498","1573","1560","1449","1426","1192","1078","877","900","749","869","1000","1169","745","1002","516","795","387","888","20926",""
"131083","200","江東区","2023-01-01","白河地区","48446","23270","25176","874","873","936","928","895","867","861","797","1103","1243","2023","2236","1924","2077","1904","2050","1947","2047","2043","2240","2024","2135","1575","1542","1206","1090","887","977","1130","1203","813","1015","599","827","526","1029","27662",""
"131083","300","江東区","2023-01-01","富岡地区","38662","19370","19292","673","647","685","626","598","583","606","578","1213","1083","2020","1812","1702","1561","1548","1455","1542","1500","1671","1582","1652","1560","1353","1223","916","874","743","819","881","955","671","860","485","722","411","852","23168",""
"131083","400","江東区","2023-01-01","豊洲地区","125007","61516","63491","3502","3371","3829","3631","3351","3209","2783","2644","2622","2629","3076","3253","3931","4301","4944","5301","5497","5746","6317","6369","6313","6141","4673","4009","2826","2650","1939","2140","2151","2505","1619","2113","1281","1804","862","1675","58170",""
"131083","500","江東区","2023-01-01","小松橋地区","36936","18240","18696","787","807","786","766","624","644","600","564","962","905","1594","1532","1386","1422","1537","1538","1517","1438","1458","1332","1397","1316","1123","1120","941","931","836","845","1026","1058","777","814","490","733","399","931","20330",""
"131083","600","江東区","2023-01-01","亀戸地区","62762","31409","31353","1082","1041","1244","1150","1310","1195","1216","1135","1748","1788","2713","2610","2477","2272","2554","2383","2633","2467","2891","2703","2644","2436","1975","1808","1451","1427","1258","1345","1592","1695","1155","1393","809","1170","657","1335","35967",""
"131083","700","江東区","2023-01-01","大島地区","63254","30490","32764","1095","1083","1178","1139","1075","1083","1021","994","1496","1589","2017","2310","2154","2164","2228","2098","2259","2070","2435","2315","2630","2546","1984","1951","1722","1773","1621","1773","1963","2150","1513","1954","1198","1785","901","1987","35150",""
"131083","800","江東区","2023-01-01","砂町地区","76032","37771","38261","1288","1243","1488","1449","1602","1514","1612","1466","1882","1736","2101","2004","2130","2033","2449","2270","2713","2527","3170","2948","3240","3062","2654","2471","2191","2099","2160","2169","2734","2875","1978","2342","1410","1956","969","2097","39240",""
"131083","900","江東区","2023-01-01","南砂地区","44842","21816","23026","724","730","943","880","959","909","1081","952","1209","1010","1109","936","1069","1048","1361","1324","1562","1499","1935","2081","2068","2007","1517","1425","1152","1193","1047","1289","1482","1717","1170","1499","846","1254","582","1273","22667",""
"131083","100","江東区","2022-01-01","東陽地区","36704","17967","18737","880","757","822","747","602","579","543","508","925","873","1353","1327","1384","1320","1496","1527","1560","1479","1570","1594","1411","1375","1142","1033","817","882","803","874","1102","1294","686","944","501","762","370","862","20590",""
"131083","200","江東区","2022-01-01","白河地区","48162","23134","25028","915","925","950","942","925","857","819","801","1022","1163","1890","2131","1925","2086","1975","2091","2020","2142","2047","2299","2009","2075","1496","1429","1139","1034","930","998","1218","1301","745","945","609","806","500","1003","27041",""
"131083","300","江東区","2022-01-01","富岡地区","38281","19137","19144","728","705","697","628","598","579","596","544","1095","1047","1891","1727","1640","1525","1583","1499","1567","1492","1777","1623","1611","1541","1258","1131","882","874","790","816","959","1043","608","800","473","732","384","838","22492",""
"131083","400","江東区","2022-01-01","豊洲地区","121968","59982","61986","3488","3316","3862","3654","3262","3061","2643","2529","2386","2475","2836","3086","3740","4140","5045","5390","5540","5803","6389","6493","6235","5811","4176","3613","2556","2493","1984","2153","2300","2644","1513","1992","1241","1715","786","1618","56324",""
"131083","500","江東区","2022-01-01","小松橋地区","36630","18170","18460","858","843","768","747","635","621","573","539","933","869","1583","1459","1375","1473","1593","1523","1493","1440","1472","1352","1335","1296","1130","1081","899","906","856","883","1112","1104","687","764","483","714","385","846","19903",""
"131083","600","江東区","2022-01-01","亀戸地区","60542","30394","30148","1051","1027","1241","1125","1292","1182","1117","1050","1646","1618","2533","2333","2315","2171","2517","2278","2624","2453","2866","2644","2477","2313","1787","1655","1376","1372","1361","1373","1676","1831","1074","1294","826","1141","615","1288","34368",""
"131083","700","江東区","2022-01-01","大島地区","63030","30441","32589","1150","1133","1160","1114","1031","1060","1064","973","1362","1553","2014","2092","2094","2106","2247","2118","2254","2125","2537","2464","2575","2445","1909","1866","1729","1765","1689","1847","2124","2366","1452","1899","1174","1775","876","1888","34660",""
"131083","800","江東区","2022-01-01","砂町地区","75796","37677","38119","1338","1270","1542","1441","1615","1532","1554","1477","1843","1718","2040","1884","2051","1965","2511","2249","2728","2612","3266","3081","3222","2966","2517","2377","2198","2047","2253","2291","2873","3056","1848","2222","1365","1915","913","2016","38660",""
"131083","900","江東区","2022-01-01","南砂地区","44839","21777","23062","785","783","923","894","1008","915","1110","971","1118","958","1072","916","1046","1079","1407","1377","1582","1573","2051","2144","1983","1901","1454","1341","1078","1166","1126","1361","1577","1849","1089","1419","821","1224","547","1191","22439",""
